id,work_year,experience_level,employment_type,job_title,department,Salary_in_usd,employee_residence,job_type,company_location,company_size
0,2020,mid-level,"full time","Data Scientist","Data Science",79833,Germany,"On Site",Germany,"Large Enterprise"
1,2020,Senior,"full time","Machine Learning Scientist","Data Science",260000,Japan,"On Site",Japan,"Small Enterprise"
2,2020,Senior,"full time","Big Data Engineer","Data Engineering",109024,"United Kingdom",Hybrid,"United Kingdom","Medium Enterprise"
3,2020,mid-level,"full time","Product Data Analyst","Data Analysis",20000,Honduras,"On Site",Honduras,"Small Enterprise"
4,2020,Senior,"full time","Machine Learning Engineer","Artificial Intelligence",150000,USA,Hybrid,USA,"Large Enterprise"
5,2020,Junior,"full time","Data Analyst","Data Analysis",72000,USA,Remote,USA,"Large Enterprise"
6,2020,Senior,"full time","Lead Data Scientist","Data Science",190000,USA,Remote,USA,"Small Enterprise"
7,2020,mid-level,"full time","Data Scientist","Data Science",35735,Hungary,Hybrid,Hungary,"Large Enterprise"
8,2020,mid-level,"full time","Business Data Analyst","Data Analysis",135000,USA,Remote,USA,"Large Enterprise"
9,2020,Senior,"full time","Lead Data Engineer","Data Engineering",125000,"New Zealand",Hybrid,"New Zealand","Small Enterprise"
10,2020,Junior,"full time","Data Scientist","Data Science",51321,France,"On Site",France,"Small Enterprise"
11,2020,mid-level,"full time","Data Scientist","Data Science",40481,India,"On Site",India,"Large Enterprise"
12,2020,Junior,"full time","Data Scientist","Data Science",39916,France,"On Site",France,"Medium Enterprise"
13,2020,mid-level,"full time","Lead Data Analyst","Data Analysis",87000,USA,Remote,USA,"Large Enterprise"
14,2020,mid-level,"full time","Data Analyst","Data Analysis",85000,USA,Remote,USA,"Large Enterprise"
15,2020,mid-level,"full time","Data Analyst","Data Analysis",8000,Pakistan,Hybrid,Pakistan,"Large Enterprise"
16,2020,Junior,"full time","Data Engineer","Data Engineering",41689,Japan,Remote,Japan,"Small Enterprise"
17,2020,Senior,"full time","Big Data Engineer","Data Engineering",114047,Poland,Remote,"United Kingdom","Small Enterprise"
18,2020,Junior,"full time","Data Science Consultant","Data Science",5707,India,Hybrid,India,"Medium Enterprise"
19,2020,mid-level,"full time","Lead Data Engineer","Data Engineering",56000,Portugal,Remote,USA,"Medium Enterprise"
20,2020,mid-level,"full time","Machine Learning Engineer","Artificial Intelligence",43331,China,"On Site",China,"Medium Enterprise"
21,2020,mid-level,"full time","Product Data Analyst","Data Analysis",6072,India,Remote,India,"Large Enterprise"
22,2020,Senior,"full time","Data Engineer","Data Engineering",47899,Greece,Hybrid,Greece,"Large Enterprise"
23,2020,mid-level,"full time","BI Data Analyst","Data Analysis",98000,USA,"On Site",USA,"Medium Enterprise"
24,2020,mid-level,"full time","Lead Data Scientist","Data Science",115000,UAE,"On Site",UAE,"Large Enterprise"
25,2020,Senior,"full time","Director of Data Science","Data Science",325000,USA,Remote,USA,"Large Enterprise"
